RestaurantID,Restaurant Name,Address,Time,District,Time Open,Time Close,Lowest Price,Highest Price
3534,"OHAR - Trà Sữa Thảo Mộc, Trà Thảo Mộc & Cafe - 179 Lê Văn Lương","179 Lê Văn Lương, P. Tân Kiểng, Quận 7, TP. HCM",09:30 - 21:00,Quận 7,09:30,21:00,20000.0,50000.0
3535,Bánh Tráng Trộn 34 - Nguyễn Như Lãm,"73 Nguyễn Như Lãm, P. Phú Thọ Hòa, Tân Phú, TP. HCM",00:00 - 23:59,Tân Phú,00:00,23:59,10000.0,30000.0
3536,The Juice Today - Tôn Thất Tùng,"27 Tôn Thất Tùng, P. Phạm Ngũ Lão, Quận 1, TP. HCM",00:00 - 23:59,Quận 1,00:00,23:59,20000.0,50000.0
3537,Ăn Vặt Hoa Đào - Tré Trộn & Tàu Hủ Singapore,"58 Hoa Đào, P. 2, Phú Nhuận, TP. HCM",00:00 - 23:59,Phú Nhuận,00:00,23:59,15000.0,65000.0
3538,Cô Jun - Bún Đậu Mắm Tôm & Bún Chả Hà Nội - Đường Số 14,"63 Đường Số 14, X. Phong Phú, Bình Chánh, TP. HCM",00:00 - 23:59,Bình Chánh,00:00,23:59,30000.0,70000.0
3539,"Ăn Vặt Má Hi - Bánh Mì Chả Cá, Bánh Tráng Trộn & Trà Tắc - Phan Văn Khỏe","221/14 Phan Văn Khỏe, P. 5, Quận 6, TP. HCM",09:00 - 22:00,Quận 6,09:00,22:00,20000.0,50000.0
3540,Ốc Nhà Đèn - Hải Sản Các Loại,"122 Phạm Thế Hiển, P. 2, Quận 8, TP. HCM",00:00 - 23:59,Quận 8,00:00,23:59,30000.0,60000.0
3541,Trái Cây Cắt Sẵn & Ăn Vặt - Kusi fruit,"360/6 Nguyễn Thị Minh Khai, P. 5, Quận 3, TP. HCM",00:00 - 23:59,Quận 3,00:00,23:59,20000.0,50000.0
3542,Liễu Sinh Tố Nước Ép Trái Cây - Sinh Tố - Nguyễn Ảnh Thủ,"10 Nguyễn Ảnh Thủ, X. Bà Điểm, Hóc Môn, TP. HCM",00:00 - 23:59,Hóc Môn,00:00,23:59,20000.0,50000.0
3543,Ăn Vặt Trái Cây Tươi CMT8 - Cách Mạng Tháng Tám,"493A/32 Cách Mạng Tháng 8, P. 13, Quận 10, TP. HCM",09:00 - 23:00,Quận 10,09:00,23:00,20000.0,50000.0
3544,Sầu Riêng Chiên Thuận Lợi,"382 Tùng Thiện Vương, P. 13, Quận 8, TP. HCM",09:30 - 21:00,Quận 8,09:30,21:00,9000.0,10000.0
3545,Rốp Rốp - Bánh Tráng Nướng Đà Lạt - Phan Thị Hành,"76 Phan Thị Hành, P. Phú Thọ Hoà, Tân Phú, TP. HCM",00:00 - 23:59,Tân Phú,00:00,23:59,10000.0,15000.0
